ID	Name	Size	Bark	Embryo	FlushBud	MatureNeedle	Megagametophyte	SeedGermination	Xylem	YoungBuds
gene3664	NA	240	101.845	59.5404	83.0631	0	81.2856	0	25.0011	30.3161
gene3665	NA	531	38.6341	23.1293	0	0	27.7754	0	0	8.61494
gene3666	NA	366	310.703	22.2252	126.695	286.517	17.3492	52.6459	450.094	433.645
gene3667	NA	183	0	23.385	0	21.5601	18.9834	10.9983	10.9294	9.93969
gene3668	NA	261	0	61.0806	0	0	113.301	11.5672	0	6.96921
gene3669	NA	171	0	1.92508	0	0	4.06311	0	0	0
gene3670	NA	393	27.9446	9.3992	0	0	3.71169	0	79.0748	0
gene3671	NA	402	0	7.22397	0	0	10.8068	0	0	0
gene3672	NA	126	0	7.83782	0	0	5.51421	0	0	0
gene3673	NA	183	0	1.79884	0	0	0	5.49917	0	0
gene3674	NA	132	15.431	0	0	0	0	0	0	0
gene3675	NA	396	0	11.0891	0	25.2279	14.6126	0	0	23.8896
gene3676	NA	240	0	29.7702	0	0	20.3214	0	0	0
gene3677	NA	246	0	70.2511	0	0	0	0	0	0
gene3678	NA	312	0	20.9863	5.32456	0	39.2574	0	19.2316	0
gene3679	NA	225	0	138.795	0	0	181.029	26.8359	0	8.08428
gene3680	NA	165	0	3.99016	0	0	4.21085	18.2972	0	11.024
gene3681	NA	255	0	35.4774	6.51475	0	28.2492	7.89292	0	7.13319
gene3682	NA	144	70.7254	22.8603	69.2192	54.7986	19.2998	69.8853	291.68	113.685
gene3683	NA	324	1047.16	3.10218	0	0	23.5144	0	0	0
gene3684	NA	246	0	11.7085	0	0	34.5752	0	0	0
gene3685	NA	261	0	22.9052	0	0	12.5891	0	0	0
gene3686	NA	147	0	6.71813	0	0	4.72647	0	0	0
gene3687	NA	165	0	1.99508	10.0683	0	8.42171	0	0	11.024
gene3688	NA	147	0	4.47876	0	0	0	0	0	0
gene3689	NA	204	49.9238	37.1144	0	0	95.3635	24.6654	39.2174	26.7495
gene3690	NA	135	0	14.6306	0	0	5.1466	7.45443	0	0
gene3691	NA	192	0	8.57262	0	0	3.6187	0	0	0
gene3692	NA	273	14.9223	41.8091	6.08521	0	41.3627	0	0	0
gene3693	NA	183	0	3.59769	0	0	0	0	0	0
gene3694	NA	120	0	0.914413	0	0	1.92998	0	0	0
gene3695	NA	405	8254.07	5.27785	345.154	0	20.9285	278.908	4255.95	769.113
gene3696	NA	369	41.6625	2.17839	479.363	77.0651	4.25756	25.3292	578.273	148.062
gene3697	NA	261	5494.14	442.834	6759.62	22.6753	1359.62	36853.2	13510.2	6781.04
gene3698	NA	264	192.887	228.428	144.731	134.506	71.6401	41.9312	1007.62	179.14
gene3699	NA	270	181.057	145.281	159.973	73.0647	43.2958	29.8177	622.25	154.949
gene3700	NA	342	127292	981.344	82861.6	68321.2	1198.88	11912.4	219696	122083
gene3701	NA	405	815.809	198.799	108.996	158.368	240.678	261.476	0	277.735
gene3702	NA	159	781.449	227.741	177.619	210.923	458.824	164.56	0	148.72
gene3703	NA	240	127.306	774.026	20.7658	8.21978	609.642	109.021	0	68.2111
gene3704	NA	264	7.7155	242.705	6.29266	0	107.46	22.8715	0	6.89001
gene3705	NA	348	657.29	126.499	48.2238	65.3294	78.1816	344.277	0	64.6386
gene3706	NA	720	173.183	73.4276	36.7853	14.7148	85.1277	102.865	0	86.3704
gene3707	NA	207	314.882	49.2988	56.1779	57.1811	12260	121.54	9.66227	114.234
gene3708	NA	309	481.207	458.836	96.7725	191.529	417.453	2120.09	6.47278	153.052
gene3709	NA	147	138.564	44.7876	22.6022	80.5203	42.5382	75.3049	0	98.9912
gene3710	NA	162	0	0	0	0	0	0	0	0
gene3711	NA	1218	13.6112	6.91216	1.83677	0	8.23708	2.16777	0	6.07576
gene3712	NA	1839	260.162	20.3063	47.9174	37.6083	30.6302	26.6288	2.62844	67.0524
gene3713	bla	861	90.3795	32.7594	63.7256	177.955	69.9892	15.8491	2467.56	151.261
gene3714	tnsA	303	0	0	0	0	0	0	0	0
gene3715	NA	465	0	0	0	0	0	0	0	0
gene3716	NA	111	0	0	0	0	0	0	0	0
gene3717	NA	183	33.3917	53.9653	9.07793	0	79.7301	10.9983	0	0
gene3718	NA	189	0	0.870869	0	0	5.51421	0	0	0
gene3719	NA	294	0	0	0	0	0	0	0	0
gene3720	NA	489	0	0	0	0	1.22672	0	0	0
gene3721	NA	120	0	0	0	0	2.89496	0	0	0
gene3722	NA	375	0	0	0	0	0	0	0	0
gene3723	NA	171	0	0	0	0	2.03155	0	0	0
gene3724	NA	171	0	0	0	0	2.03155	0	0	0
gene3725	NA	375	0	0	0	0	0	0	0	0
gene3726	NA	120	0	0	0	0	2.89496	0	0	0
gene3727	NA	489	0	0	0	0	1.22672	0	0	0
gene3728	NA	294	0	0	0	0	0	0	0	0
gene3729	NA	189	0	0.870869	0	0	5.51421	0	0	0
gene3730	NA	249	0	0	0	0	0	0	0	0
gene3731	NA	144	0	0	0	0	0	0	0	0
gene3732	NA	255	0	0	0	0	0	0	0	0
gene3733	NA	426	250.066	26.8899	29.5469	164.096	100.973	22.1238	202.065	17.1373
gene3734	NA	369	458.287	26.1407	89.8805	77.0651	89.4087	0	0	37.0156
gene3735	NA	270	67.8964	227.396	43.0697	0	443.782	26.0905	7.40774	13.4738
gene3736	NA	198	10.2873	11.638	0	0	66.6719	20.3303	0	9.18668
gene3737	NA	363	617.379	83.9331	235.168	261.887	234.264	95.8928	87.1861	84.3274
gene3738	NA	351	0	7.41888	22.1803	0	9.57078	0	0	0
gene3739	NA	141	0	3.50201	0	0	7.39139	0	0	0
gene3740	NA	177	0	0	0	0	1.30846	0	0	0
gene3741	NA	198	0	1.66257	0	0	8.18777	0	0	0
gene3742	NA	159	0	2.07037	0	0	1.45658	0	0	0
gene3743	NA	390	9.71471	3.82521	0	0	3.77214	0	0	0
gene3744	NA	363	0	6.80539	0	0	8.84014	4.56632	0	0
gene3745	NA	369	0	2.90452	9.98672	0	1.41919	0	0	0
gene3746	NA	378	1677.17	2.05595	51.5527	710.051	2.69002	7.58407	21.9017	72.9999
gene3747	NA	345	6274	150.202	2517.94	2708	159.733	622.977	980.404	3955.24
gene3748	NA	309	575.691	279.396	302.862	355.393	282.791	2137.32	69.043	300.217
gene3749	atp8-2	480	1061.61	1183.89	698.642	490.561	1151.27	676.318	4326.46	912.47
gene3750	NA	264	0	21.4151	0	0	11.94	0	0	0
gene3751	NA	219	0	295.157	0	0	0	0	0	0
gene3752	NA	168	0	9.79728	0	0	8.27132	0	0	10.8272
gene3753	NA	192	21.2176	3.42905	0	0	0	5.2414	0	0
gene3754	NA	285	0	19.6193	0	0	8.77371	0	0	6.38233
gene3755	NA	249	0	21.1593	0	0	48.2604	0	0	0
gene3756	NA	240	0	44.6553	0	0	0	0	0	0
gene3757	NA	243	0	26.2142	0	0	18.6822	0	0	0
gene3758	NA	348	0	7.58993	0	0	9.77271	17.2138	0	64.6386
gene3759	NA	216	47.1503	7.62011	15.3821	0	204.549	4.65902	0	8.42113
gene3760	NA	186	0	17.6983	0	21.2123	41.0898	0	64.519	0
gene3761	NA	147	0	20.1544	0	0	23.6323	0	0	0
gene3762	NA	195	0	5.06444	0	0	0	0	0	9.32802
gene3763	NA	150	0	4.38918	132.901	0	13.8958	13.418	0	12.1264
gene3764	NA	192	10.6088	10.2871	0	20.5495	14.4748	5.2414	0	0
gene3765	NA	507	65.3932	7.97025	60.1132	10.427	6.92046	9.25541	0	19.4395
gene3766	NA	198	0	9.97541	16.7804	29.8901	3.50905	0	0	36.7467
gene3767	NA	357	0	11.8315	0	0	36.7638	0	0	0
gene3768	NA	177	0	9.29911	0	0	19.6269	0	0	0
gene3769	NA	276	0	16.9932	0	0	19.7974	0	0	0
gene3770	NA	591	7.51925	82.0512	11.9753	0	110.029	13.3529	0	40.2514
gene3771	NA	123	0	5.35266	0	0	0	0	0	0
gene3772	NA	117	0	2.81358	0	0	5.93838	0	0	0
gene3773	NA	264	0	14.2768	0	0	11.94	0	0	0
gene3774	NA	147	0	8.95751	33.9033	13.4201	9.45294	0	0	0
gene3775	NA	198	0	3.32514	0	0	7.01809	0	0	0
gene3776	NA	183	0	14.3908	18.1559	0	18.9834	5.49917	0	0
gene3777	NA	186	0	3.53966	0	0	7.47087	0	0	0
gene3778	NA	165	0	5.98525	0	0	8.42171	0	0	0
gene3779	NA	180	0	5.48648	0	0	3.85995	0	0	0
gene3780	NA	276	0	6.66401	0	0	0	0	0	3.29522
gene3781	NA	132	0	2.49385	0	0	15.7907	0	0	0
gene3782	NA	207	0	7.95142	0	0	2919.04	0	0	0
gene3783	NA	252	0	19.2986	6.59231	15.6567	30.084	0	0	0
gene3784	NA	216	0	9.14413	7.69103	0	136.366	0	0	25.2634
gene3785	NA	324	0	15.5109	0	0	0	0	0	439.31
gene3786	NA	153	0	2.15156	0	0	0	0	0	0
gene3787	NA	414	21.6944	1.67855	0	0	0	0	0	0
gene3788	NA	129	0	7.65555	0	0	5.38598	0	0	0
gene3789	NA	231	0	100.398	0	0	27.5819	0	0	0
gene3790	NA	222	0	79.9914	0	0	171.658	0	0	0
gene3791	NA	201	0	14.7398	0	0	3.45667	0	0	0
gene3792	NA	114	0	8.66286	0	0	0	0	0	0
gene3793	NA	108	0	15.2402	0	0	19.2998	0	0	0
gene3794	NA	123	0	8.02899	13.5062	0	16.9461	0	0	0
gene3795	NA	273	14.9223	23.8909	0	0	72.3847	3.68626	0	13.3257
gene3796	NA	159	25.6213	8.28147	0	0	26.2185	0	0	34.3201
gene3797	NA	276	14.7601	33.9864	18.0572	0	29.6961	3.64619	0	26.3618
gene3798	NA	243	8.38227	39.3213	0	0	56.0465	0	0	0
gene3799	NA	138	0	14.3125	0	0	0	7.29238	0	0
gene3800	NA	192	509.223	20.5743	103.829	41.0989	10.8561	241.104	10.4171	189.475
gene3801	NA	216	0	3.04804	0	0	272.732	0	0	0
gene3802	NA	117	0	0	0	0	0	0	0	0
gene3803	NA	168	0	13.7162	0	0	16.5426	5.99017	0	0
gene3804	NA	189	32.3316	43.5435	17.5795	0	40.4376	0	52.9124	38.4966
gene3805	NA	153	53.2521	27.9703	54.2896	0	45.4112	39.4646	0	142.664
gene3806	NA	192	11.5202	68.0215	10.7258	10.2747	61.518	5.7392	83.3213	0
gene3807	NA	291	13.9993	27.0139	0	0	73.4019	688.525	0	0
gene3808	NA	312	0	6.99543	0	0	0	0	0	0
gene3809	NA	234	0	20.4271	0	0	49.2933	0	0	0
gene3810	NA	375	0	2.0952	0	0	12.3197	11.7754	0	0
gene3811	NA	282	0	41.0746	0	0	0	0	0	0
gene3812	NA	237	0	68.8848	0	0	0	0	0	0
gene3813	NA	261	0	76.3508	0	15.1168	37.7672	3.85574	7.66318	0
gene3814	NA	144	0	0	0	0	33.7746	0	0	0
gene3815	NA	150	0	8.77836	0	0	0	0	0	0
gene3816	NA	207	0	6.36113	0	0	3502.85	0	0	0
gene3817	NA	312	0	38.4749	0	6.32291	117.772	0	0	0
gene3818	NA	249	16.3606	317.389	20.0152	0	321.736	0	16.065	0
gene3819	trnV-UAC-2	2440	3.84339	14.5777	7.03114	0	19.2808	5.14765	0.942158	14.5851
gene3820	NA	183	0	5.39653	0	0	3.79667	0	0	0
gene3821	NA	270	0	25.2662	0	7.30647	0	0	0	0
gene3822	NA	378	35.1854	14.3125	0	0	40.3502	0	0	0
gene3823	NA	150	0	6.58377	0	0	4.63194	0	0	0
gene3824	NA	135	0	4.87687	0	0	0	0	0	0
gene3825	NA	237	0	34.4424	0	0	65.1431	0	0	0
gene3826	NA	201	0	4.91326	0	0	3.45667	0	0	0
gene3827	NA	201	0	1.63775	0	0	3.45667	0	0	0
gene3828	NA	372	39.2538	21.3599	0	0	16.7228	0	0	69.7716
gene3829	NA	135	15.0881	7.3153	0	0	15.4398	0	0	0
gene3830	NA	321	0	9.5773	0	0	0	0	0	0
gene3831	NA	234	0	183.844	0	0	24.6466	4.30063	0	0
gene3832	NA	258	0	49.2364	6.439	22.9389	53.2508	0	0	7.05025
gene3833	NA	204	0	6.45468	8.14344	0	3.40584	0	0	0
gene3834	NA	252	0	9.6493	0	0	30.084	0	0	0
gene3835	NA	381	0	8.07254	0	0	11.8978	11.003	0	0
gene3836	NA	150	0	2.19459	0	13.1517	0	0	0	12.1264
gene3837	NA	249	16.3606	52.8982	0	0	32.1736	4.04156	0	7.30507
gene3838	NA	225	0	323.854	0	0	72.4114	0	0	0
gene3839	ccmFN_2	231	0	0	0	0	0	0	0	0
gene3840	NA	243	0	39.3213	0	0	18.6822	0	0	0
gene3841	NA	531	0	3.154	0	0	2.13657	0	0	0
gene3842	NA	312	0	24.484	0	0	19.6287	0	0	0
gene3843	NA	144	0	2.28603	0	0	9.64988	0	0	0
gene3844	NA	195	10.4456	6.75259	0	0	3.56303	5.16076	0	0
gene3845	NA	663	5.94036	8.8747	9.50789	0	12.1576	5.3893	0	0
gene3846	NA	258	7.89493	24.6182	0	0	13.3127	0	23.2569	0
gene3847	NA	120	16.9741	5.48648	27.6877	0	11.5799	8.38623	0	45.4741
gene3848	NA	216	0	7.62011	0	0	0	0	0	0
gene3849	NA	108	0	6.09609	0	0	6.43325	0	0	0
gene3850	NA	252	0	48.2465	0	0	30.084	0	0	0
gene3851	NA	195	0	13.5052	0	0	0	0	0	0
gene3852	NA	249	0	158.695	6.67173	0	257.389	8.08312	0	0
gene3853	NA	279	0	32.3181	0	0	18.9859	7.21396	0	0
gene3854	NA	216	9.43005	7.62011	0	0	204.549	0	0	0
gene3855	NA	168	0	1.95946	0	0	0	0	0	0
gene3856	NA	393	642.726	20.6782	2070.07	577.157	11.1351	427.978	0	1069.39
gene3857	NA	279	0	41.9055	0	0	0.000296951	0	0	0
gene3858	NA	249	0	42.3186	0	0	0	0	0	0
gene3859	NA	108	0	3.04804	0	0	0	0	0	0
gene3860	NA	129	0	20.4148	0	0	16.1579	0	0	0
